filename	content_locations	use_xml	location_sentences	clean_content_loc	geocode_lat	geocode_lon	geocode_str	geocode_type
CHEN, USEYA et al. - DECISIONLEVEL FUSION OF SENTINEL1 SAR	Save-Limpopo	True	          It is situated in the Lowveld with an altitude below 900 m, and agroecological regions III, IV, and V with a very low mean rainfall of below 600 mm in the Save-Limpopo valley.	Save-Limpopo	-23.4012946	29.4179324	Limpopo, South Africa	APPROXIMATE
CUI, ZHANG et al. - INTEGRATION OF OPTICAL AND SAR	Yanqi counties of Xinjiang Uygur Autonomous Region	True	The study area is located in an agricultural district stretching over Bohu and Yanqi counties of Xinjiang Uygur Autonomous Region that faces Bosten Lake to the east, which is the largest inland freshwater lake in China.	Yanqi counties of Xinjiang Uygur Autonomous Region	42.0590999	86.57424999999999	Yanqi Hui Autonomous County, Bayingolin Mongol Autonomous Prefecture, Xinjiang, China	APPROXIMATE
CUI, ZHANG et al. - INTEGRATION OF OPTICAL AND SAR	Bosten Lake	True	The study area is located in an agricultural district stretching over Bohu and Yanqi counties of Xinjiang Uygur Autonomous Region that faces Bosten Lake to the east, which is the largest inland freshwater lake in China.	Bosten Lake	42.0000977	87.0224442	Bositeng Lake, Bohu County, Bayingolin Mongol Autonomous Prefecture, China	APPROXIMATE
CUI, ZHANG et al. - INTEGRATION OF OPTICAL AND SAR	China	True	The study area is located in an agricultural district stretching over Bohu and Yanqi counties of Xinjiang Uygur Autonomous Region that faces Bosten Lake to the east, which is the largest inland freshwater lake in China.	China	35.86166	104.195397	China	APPROXIMATE
CUI, ZHANG et al. - INTEGRATION OF OPTICAL AND SAR	Xinjiang Uygur Autonomous Region,	True	This area is one of the most productive agricultural regions in Xinjiang Uygur Autonomous Region, mainly for food crops (maize and winter wheat) and economic crops (tomatoes, beets, cotton and fruit).	Xinjiang Uygur Autonomous Region	43.7934299	87.6271	Xinjiang, China	APPROXIMATE
D'ANDRIMONT, LEMOINE et al. - TARGETED GRASSLAND MONITORING AT PARCEL	Netherlands	True	For this study, an area in the Netherlands was chosen as a large amount of high quality geo-information is available under open access license there, including very detailed annual agricultural parcel sets.	Netherlands	52.132633	5.291265999999999	Netherlands	APPROXIMATE
D'ANDRIMONT, LEMOINE et al. - TARGETED GRASSLAND MONITORING AT PARCEL	Gelderland,	True	The study site is the Gelderse Vallei, which is part of the province of Gelderland, and includes 7 municipalities: Ede, Wageningen, Renkum, Barneveld, Arnhem, Putten and Nijkerk (Figure 1).	Gelderland	52.045155	5.871823399999999	Gelderland, Netherlands	APPROXIMATE
D'ANDRIMONT, LEMOINE et al. - TARGETED GRASSLAND MONITORING AT PARCEL	Ede, Wageningen,	True	The study site is the Gelderse Vallei, which is part of the province of Gelderland, and includes 7 municipalities: Ede, Wageningen, Renkum, Barneveld, Arnhem, Putten and Nijkerk (Figure 1).	Ede, Wageningen	52.0281586	5.671488	Ede-Wageningen, 6711 PZ Ede, Netherlands	GEOMETRIC_CENTER
D'ANDRIMONT, LEMOINE et al. - TARGETED GRASSLAND MONITORING AT PARCEL	Europe	True	Starting with the operational status of Sentinel 1B in late September 2016, it is now possible to generate coherence with a 6-day temporal baseline over Europe.	Europe	54.5259614	15.2551187	Europe	APPROXIMATE
DE, C, H, DE, C, O et al. - RICE CROP DETECTION USING LSTM	Brazil	True	Brazil was the tenth largest producer of milled rice in 2018/2019 [86].	Brazil	-14.235004	-51.92528	Brazil	APPROXIMATE
DE, C, H, DE, C, O et al. - RICE CROP DETECTION USING LSTM	Argentina (	True	2020, 12, x FOR PEER REVIEW 3 of 26 the national production, with 80% of the production, where the State of Rio Grande do Sul is the do Sul, on the border with Argentina (Figure 1).	Argentina	-38.416097	-63.61667199999999	Argentina	APPROXIMATE
DE, KUMAR et al. - STUDY ON CLASSIFICATION OF LAND	Burdwan	True	The test site has been chosen in the parts of Burdwan district, WB, India and its surroundings for investigation of crop monitoring and other land cover targets.	Burdwan	23.2324214	87.8614793	Burdwan, West Bengal, India	APPROXIMATE
DE, KUMAR et al. - STUDY ON CLASSIFICATION OF LAND	WB, India	True	The test site has been chosen in the parts of Burdwan district, WB, India and its surroundings for investigation of crop monitoring and other land cover targets.	WB, India	22.9867569	87.8549755	West Bengal, India	APPROXIMATE
DESHPANDE, KUMAR et al. - INTEGRATION OF C BAND SAR	Haridwar, Uttarakhand, India,	True	The study area is situated on the east side of Haridwar, Uttarakhand, India, toward national highway 74 as seen in Fig.	Haridwar, Uttarakhand, India	29.9456906	78.16424780000001	Haridwar, Uttarakhand, India	APPROXIMATE
DESHPANDE, KUMAR et al. - INTEGRATION OF C BAND SAR	River Ganges	True	River Ganges oflws through the district, and hence, the land here is fertile and conducive for agriculture.	River Ganges	27.40364008716091	83.00912404576209	Ganges	APPROXIMATE
DESHPANDE, KUMAR et al. - INTEGRATION OF C BAND SAR	India, the	True	In India, the monsoon season coincides with the transplanting season for paddy crop.	India	20.593684	78.96288	India	APPROXIMATE
DEY, BHOGAPURAPU et al. - UNSUPERVISED CLASSIFICATION OF CROP GROWTH	Canada	True	The test site in Canada is located in southern Manitoba (49°4003200N, 97°5905700S).	Canada	56.130366	-106.346771	Canada	APPROXIMATE
DEY, BHOGAPURAPU et al. - UNSUPERVISED CLASSIFICATION OF CROP GROWTH	southern Manitoba (	True	The test site in Canada is located in southern Manitoba (49°4003200N, 97°5905700S).	southern Manitoba	53.7608608	-98.81387629999999	Manitoba, Canada	APPROXIMATE
DIMOV, KUHN et al. - ASSESSMENT OF CROPPING SYSTEM DIVERSITY	Kokand (	True	         The study area is located within the surroundings of the alluvial fan south of the city of Kokand (districts Uchkuprik, Baghdad and Rishton) in the southern part of the Fergana Valley which is located between eastern Uzbekistan, northern Tajikistan, and western Kyrgyzstan, characterized by a semi-arid climate and a rapidly growing population of about 14 Mio peop                   ).	Kokand	40.5341079	70.9309024	Kokand, Uzbekistan	APPROXIMATE
DIMOV, KUHN et al. - ASSESSMENT OF CROPPING SYSTEM DIVERSITY	Uchkuprik, Baghdad	True	         The study area is located within the surroundings of the alluvial fan south of the city of Kokand (districts Uchkuprik, Baghdad and Rishton) in the southern part of the Fergana Valley which is located between eastern Uzbekistan, northern Tajikistan, and western Kyrgyzstan, characterized by a semi-arid climate and a rapidly growing population of about 14 Mio peop                   ).	Uchkuprik, Baghdad	33.315241	44.3660671	Baghdad, Iraq	APPROXIMATE
DIMOV, KUHN et al. - ASSESSMENT OF CROPPING SYSTEM DIVERSITY	Fergana Valley	True	         The study area is located within the surroundings of the alluvial fan south of the city of Kokand (districts Uchkuprik, Baghdad and Rishton) in the southern part of the Fergana Valley which is located between eastern Uzbekistan, northern Tajikistan, and western Kyrgyzstan, characterized by a semi-arid climate and a rapidly growing population of about 14 Mio peop                   ).	Fergana Valley	40.7397815	71.5723953	Fergana Valley	APPROXIMATE
DIMOV, KUHN et al. - ASSESSMENT OF CROPPING SYSTEM DIVERSITY	eastern Uzbekistan, northern Tajikistan,	True	         The study area is located within the surroundings of the alluvial fan south of the city of Kokand (districts Uchkuprik, Baghdad and Rishton) in the southern part of the Fergana Valley which is located between eastern Uzbekistan, northern Tajikistan, and western Kyrgyzstan, characterized by a semi-arid climate and a rapidly growing population of about 14 Mio peop                   ).	eastern Uzbekistan, northern Tajikistan	38.861034	71.276093	Tajikistan	APPROXIMATE
DIMOV, KUHN et al. - ASSESSMENT OF CROPPING SYSTEM DIVERSITY	western Kyrgyzstan,	True	         The study area is located within the surroundings of the alluvial fan south of the city of Kokand (districts Uchkuprik, Baghdad and Rishton) in the southern part of the Fergana Valley which is located between eastern Uzbekistan, northern Tajikistan, and western Kyrgyzstan, characterized by a semi-arid climate and a rapidly growing population of about 14 Mio peop                   ).	western Kyrgyzstan	41.20438	74.766098	Kyrgyzstan	APPROXIMATE
DIMOV, KUHN et al. - ASSESSMENT OF CROPPING SYSTEM DIVERSITY	Naryn-Syrdarya river	True	from the Naryn-Syrdarya river system.	Naryn-Syrdarya river	41.03035903958165	71.94006783872133	Naryn River	APPROXIMATE
DOBRINIC, GASPAROVIC et al. - SENTINEL1 AND 2 TIMESERIES	Croatia	True	          The Med¯imurje County, illustrated in Figure 1, is one of the main crop product regions and is the northernmost part of Croatia.	Croatia	45.1	15.2	Croatia	APPROXIMATE
DUSSEUX, CORPETTI et al. - COMBINED USE OF MULTITEMPORAL OPTICAL	Brittany, France (	False	The study was performed on a catchment area of 61.5 km2 located in central-north Brittany, France (Figure 1).	Brittany, France	48.2020471	-2.9326435	Brittany, France	APPROXIMATE
FELEGARI, SHARIFI et al. - INTEGRATION OF SENTINEL 1	Tarom City (Zanjan Province), Iran,	True	This research was carried out in Tarom City (Zanjan Province), Iran, which has a wide range of climates (Figure 2).	Tarom City (Zanjan Province), Iran	36.925325	48.9539808	WXG3+4HQ, Abbar, Zanjan Province, Iran	GEOMETRIC_CENTER
FENG, ZHENG et al. - DYNAMIC COSINE METHOD FOR NORMALIZING	Jilin Province in northeast China (	True	          The study site is located in the central part of Jilin Province in northeast China (123 080~127 090 E, 43 100~44 510 N) with an area of approximately 250 km 160 km, covering Changchun, Songyuan, Siping, and Jilin city (Figure 1).	Jilin Province in northeast China	43.8378399	126.54944	Jilin City, Jilin, China	APPROXIMATE
FENG, ZHENG et al. - DYNAMIC COSINE METHOD FOR NORMALIZING	Changchun, Songyuan, Siping,	True	          The study site is located in the central part of Jilin Province in northeast China (123 080~127 090 E, 43 100~44 510 N) with an area of approximately 250 km 160 km, covering Changchun, Songyuan, Siping, and Jilin city (Figure 1).	Changchun, Songyuan, Siping	43.1664599	124.35036	Siping, Jilin, China	APPROXIMATE
FENG, ZHENG et al. - DYNAMIC COSINE METHOD FOR NORMALIZING	Songliao Plain in northeast China	True	It belongs to the hinterland of the Songliao Plain in northeast China.	Songliao Plain in northeast China	28.1148	119.92973	Songliao, Jingning She Autonomous County, Lishui, Zhejiang, China, 323907	APPROXIMATE
FENG, ZHENG et al. - DYNAMIC COSINE METHOD FOR NORMALIZING	China,	True	It is one of the most important commercial maize production bases in China, and one of the three major black soil regions as well as three golden maize belts in the world [28].	China	35.86166	104.195397	China	APPROXIMATE
FERRANT, SELLES et al. - DETECTION OF IRRIGATED CROPS	Telangana State, South India,	True	It is located in Telangana State, South India, and is the youngest state in India, formed after the Andhra Pradesh State 2014 Reorganisation Act.	Telangana State, South India	18.1124372	79.01929969999999	Telangana, India	APPROXIMATE
FERRANT, SELLES et al. - DETECTION OF IRRIGATED CROPS	India,	True	It is located in Telangana State, South India, and is the youngest state in India, formed after the Andhra Pradesh State 2014 Reorganisation Act.	India	20.593684	78.96288	India	APPROXIMATE
FERRANT, SELLES et al. - DETECTION OF IRRIGATED CROPS	Hyderabad (	True	The catchment is 50 km north of Hyderabad (Figure 1c).	Hyderabad	17.385044	78.486671	Hyderabad, Telangana, India	APPROXIMATE
FERRANT, SELLES et al. - SENTINEL12 FOR NEAR REAL TIME	Telangana State, South India	True	It is located in Telangana State, South India.	Telangana State, South India	18.1124372	79.01929969999999	Telangana, India	APPROXIMATE
FERRANT, SELLES et al. - SENTINEL12 FOR NEAR REAL TIME	India	True	It is located in Telangana State, South India.	India	20.593684	78.96288	India	APPROXIMATE
FERRANT, SELLES et al. - SENTINEL12 FOR NEAR REAL TIME	Hyderabad (	True	The catchment is 50 km north of Hyderabad (Figure 1c).	Hyderabad	17.385044	78.486671	Hyderabad, Telangana, India	APPROXIMATE
FIORILLO, DI, G, E et al. - LOWLAND RICE MAPPING IN SEDHIOU	Middle Casamance,	True	The Sédhiou region (Figure 1) corresponds to the geographic region of the Middle Casamance, covering 7341 km2 that amounts to 3.73% of Senegal’s total area.	Middle Casamance	12.5626345	-16.2665509	Casamance, Senegal	APPROXIMATE
FIORILLO, DI, G, E et al. - LOWLAND RICE MAPPING IN SEDHIOU	Senegal	True	The Sédhiou region (Figure 1) corresponds to the geographic region of the Middle Casamance, covering 7341 km2 that amounts to 3.73% of Senegal’s total area.	Senegal	14.497401	-14.452362	Senegal	APPROXIMATE
FIORILLO, DI, G, E et al. - LOWLAND RICE MAPPING IN SEDHIOU	Soungrougrou rivers	True	Other lowland areas (denominated “fluvial”) are located on the banks of the Casamance and Soungrougrou rivers.	Soungrougrou rivers	12.90197355215465	-15.68820232149641	Soungrougrou, Senegal	APPROXIMATE
FORKUOR, CONRAD et al. - INTEGRATION OF OPTICAL AND SYNTHETIC	Benin (	True	         The study was conducted in a catchment located in the northwestern part of the republic of Benin (Figure 1).	Benin	9.30769	2.315834	Benin	APPROXIMATE
FORKUOR, CONRAD et al. - INTEGRATION OF OPTICAL AND SYNTHETIC	West Africa,	True	Like other parts of West Africa, agriculture here is mainly rainfed.	West Africa	13.531665	-2.4604145	West Africa	APPROXIMATE
FORKUOR, CONRAD et al. - INTEGRATION OF OPTICAL AND SYNTHETIC	Materi	True	        The catchment is located in the Materi commune, which administratively falls under the jurisdiction of the Atacora Department.	Materi	10.7279374	0.9940179000000001	Materi, Benin	APPROXIMATE
FORKUOR, CONRAD et al. - INTEGRATION OF OPTICAL AND SYNTHETIC	Atacora Department	True	        The catchment is located in the Materi commune, which administratively falls under the jurisdiction of the Atacora Department.	Atacora Department	10.7954931	1.6760691	Atakora Department, Benin	APPROXIMATE
FORKUOR, CONRAD et al. - INTEGRATION OF OPTICAL AND SYNTHETIC	Pendjari National Park in West Africa	True	The northeastern part of the catchment forms part of the Pendjari National Park in West Africa.	Pendjari National Park in West Africa	11.2481125	1.5983959	Pendjari National Park	APPROXIMATE
GAO, WANG et al. - A CROP CLASSIFICATION METHOD INTEGRATING	southeastern Dongting Lake basin, Hunan, China (	True	The study area is located in the southeastern Dongting Lake basin, Hunan, China (Figure 1).	southeastern Dongting Lake basin, Hunan, China	28.827146	112.694868	Dongting Lake, Xiangyin County, Yueyang, China, 414616	APPROXIMATE
GAO, WANG et al. - A CROP CLASSIFICATION METHOD INTEGRATING	China,	True	As the first C-band synthetic aperture radar (SAR) satellite in China, it owns 12 imaging modes with the highest spatial resolution of 1 m [48].	China	35.86166	104.195397	China	APPROXIMATE
GAO, ZRIBI et al. - IRRIGATION MAPPING USING SENTINEL1 TIME	Urgell, Catalonia, Spain (	True	           The study area covers a 20 km by 20 km area, located in Urgell, Catalonia, Spain (Figure 2).	Urgell, Catalonia, Spain	41.6358769	1.09694	Urgell, Lleida, Spain	APPROXIMATE
GAO, ZRIBI et al. - IRRIGATION MAPPING USING SENTINEL1 TIME	Mediterranean,	True	The Urgell climate is typically Mediterranean, with continental influence; it is mild in winter and warm in summer, with a very dry season in summer and two rainier seasons in autumn and spring [                       ].	Mediterranean	34.5531284	18.0480105	Mediterranean Sea	APPROXIMATE
GAO, ZRIBI et al. - IRRIGATION MAPPING USING SENTINEL1 TIME	Baldomar	True	Precipitation events at the Baldomar meteo station, which is the nearest one to our study area, are illustrated in Figure 3.	Baldomar	41.9173513	1.0146416	25737 Baldomar, Lleida, Spain	APPROXIMATE
GELLA, BIJKER et al. - MAPPING CROP TYPES IN COMPLEX	eastern Netherlands (	True	Our study site was situated at 6◦ 45′ 39′′ to 7◦ 3′ 29′′ Longitude and 52◦ 15′ 5′′ to 52◦ 21′ 33′′ Latitude, in the eastern Netherlands (Over Ijssel province) (Fig.	eastern Netherlands	52.36019280000001	6.373908999999999	Oost-Nederland, Netherlands	APPROXIMATE
GELLA, BIJKER et al. - MAPPING CROP TYPES IN COMPLEX	Ijssel	True	Our study site was situated at 6◦ 45′ 39′′ to 7◦ 3′ 29′′ Longitude and 52◦ 15′ 5′′ to 52◦ 21′ 33′′ Latitude, in the eastern Netherlands (Over Ijssel province) (Fig.	Ijssel	52.27382999640028	6.028233334652726	IJssel, Netherlands	APPROXIMATE
GELLA, BIJKER et al. - MAPPING CROP TYPES IN COMPLEX	Netherlands	True	Our study site was situated at 6◦ 45′ 39′′ to 7◦ 3′ 29′′ Longitude and 52◦ 15′ 5′′ to 52◦ 21′ 33′′ Latitude, in the eastern Netherlands (Over Ijssel province) (Fig.	Netherlands	52.132633	5.291265999999999	Netherlands	APPROXIMATE
HALDAR, DAS et al. - ASSESSMENT OF LBAND SAR DATA	Hisar, Haryana (India)	True	Central State Farm located in Hisar, Haryana (India) has been selected for the present study.	Hisar, Haryana (India	29.1491875	75.7216527	Hisar, Haryana, India	APPROXIMATE
HALDAR, DAS et al. - ASSESSMENT OF LBAND SAR DATA	SAC, India	True	project carried out at SAC, India.	SAC, India	23.0277933	72.51888799999999	2GH9+4H6, Satellite Rd, Satellite, Ahmedabad, Gujarat 380015, India	GEOMETRIC_CENTER
HALDAR, PATNAIK - SYNERGISTIC USE OF MULTITEMPORAL RADARSAT	India	True	Unlike the wide extent of the Kharif rice producing states, rabi rice is confined to only four states in India where wheat growing environment lacks in the winter season.	India	20.593684	78.96288	India	APPROXIMATE
HALDAR, PATNAIK - SYNERGISTIC USE OF MULTITEMPORAL RADARSAT	Orissa, West Bengal, Andhra Pradesh	True	The major states contributing to rabi rice area are Orissa, West Bengal, Andhra Pradesh and Karnataka.	Orissa, West Bengal, Andhra Pradesh	15.9128998	79.7399875	Andhra Pradesh, India	APPROXIMATE
HALDAR, PATNAIK - SYNERGISTIC USE OF MULTITEMPORAL RADARSAT	Karnataka	True	The major states contributing to rabi rice area are Orissa, West Bengal, Andhra Pradesh and Karnataka.	Karnataka	15.3172775	75.7138884	Karnataka, India	APPROXIMATE
HALDAR, PATNAIK - SYNERGISTIC USE OF MULTITEMPORAL RADARSAT	western Orissa	True	The present study is an investigation pertaining to two major rabi rice producing districts of western Orissa viz.	western Orissa	20.9516658	85.0985236	Odisha, India	APPROXIMATE
HALDAR, PATNAIK - SYNERGISTIC USE OF MULTITEMPORAL RADARSAT	Sonepur	True	Baragarh and Sonepur .	Sonepur	20.8480141	83.8950042	Sonepur, Odisha 767017, India	APPROXIMATE
HALDAR, PATNAIK et al. - JUTE AND TEA DISCRIMINATION	West Bengal	True	The study area selected is northern part of West Bengal covering the District of Jalpaiguri.	West Bengal	22.9867569	87.8549755	West Bengal, India	APPROXIMATE
HALDAR, PATNAIK et al. - JUTE AND TEA DISCRIMINATION	Jalpaiguri	True	The study area selected is northern part of West Bengal covering the District of Jalpaiguri.	Jalpaiguri	26.6834523	88.76886809999999	Jalpaiguri, West Bengal, India	APPROXIMATE
HEJMANOWSKA, KRAMARCZYK et al. - RELIABLE CROPS CLASSIFICATION USING LIMITED	central Poland, near	True	          The test area of 625 square kilometers (25 km 25 km) was located in central Poland, near Poznan´ (Figure 2), and included 5500 agriculture parcels declared by farmers for the subsidies.	central Poland	51.919438	19.145136	Poland	APPROXIMATE
HOANG, BERNIER et al. - CLASSIFICATION OF RICE FIELDS	Thai Nguyen province, Northern Vietnam,	True	The methods were applied on an agricultural region situated in Thai Nguyen province, Northern Vietnam, where the rice fields occupy more than 40% of the land.	Thai Nguyen province, Northern Vietnam	21.5613771	105.876004	Thai Nguyen, Vietnam	APPROXIMATE
