filename_only	use_xml	title	title_locations	methods_sections	content_locations	content_locations_filtered	location_sentences
CASTRO, FEITOSA et al. - A COMPARATIVE ANALYSIS OF DEEP	False	A Comparative Analysis of Deep Learning Techniques for Sub-tropical Crop Types Recognition from Multitemporal Optical/SAR Image Sequences		[]			
CASTRO, FEITOSA et al. - AN HYBRID RECURRENT CONVOLUTIONAL NEURAL	False	AN HYBRID RECURRENT CONVOLUTIONAL NEURAL NETWORK FOR CROP TYPE RECOGNITION BASED ON MULTITEMPORAL SAR IMAGE SEQUENCES		[]			
CHAKHAR, HERNANDEZ-LOPEZ et al. - IMPROVING THE ACCURACY OF MULTIPLE	True	Improving the Accuracy of Multiple Algorithms for Crop Classification by Integrating Sentinel-1 Observations with Sentinel-2 Data		['2. Materials and Methods']	Castilla-La Mancha, southeast Spain (	Castilla-La Mancha, southeast Spain (	['        The study area covers the agricultural fields in the province of Castilla-La Mancha, southeast Spain (Figure 1).']
CHATTERJEE, SAHA et al. - UNSUPERVISED LAND COVER CLASSIFICATION	False	Unsupervised Land Cover Classification of Hybrid and Dual-Polarized Images Using Deep Convolutional Neural Network		[]			
CHAUHAN, DARVISHZADEH et al. - DISCRIMINANT ANALYSIS FOR LODGING SEVERITY	True	Discriminant analysis for lodging severity classification in wheat using RADARSAT-2 and Sentinel-1 data		['2. Materials and methods', '2.1. Study area and in situ measurements']	Bonifiche Ferraresi; Jolanda; Ferrara, Northern Italy; LA (; Chauhan et; CAI; LA in	Bonifiche Ferraresi; Ferrara, Northern Italy; LA (; LA in	['We carried out field measurements in Bonifiche Ferraresi farm (Fig.', '1) located in Jolanda di Savoia (centre coordinates 44°52′59″N, 11°58′48″E) a commune in the province of Ferrara, Northern Italy.', '          We calculated a normalised lodging score index (LS, [0–1]) per plot based on CAI (θ, [0-90°]) and LA (%, [0–100%]) (see Eq.', 'From the plot centre, we visually assessed the LA in four quadrants (Fig.']
CHEN - POLARIMETRIC COHERENCE PATTERN A VISUALIZATION	False	Polarimetric Coherence Pattern: A Visualization and Characterization Tool for PolSAR Data Investigation		[]			
CHEN, HAN et al. - LAND UTILIZATION MAPPING IN GUANGDONG	False		no-title	[]			
CHEN, HUANG et al. - CLASSIFICATION OF MULTIFREQUENCY POLARIMETRIC SAR	False		no-title	[]			
CHEN, USEYA et al. - DECISIONLEVEL FUSION OF SENTINEL1 SAR	True	Decision-level fusion of Sentinel-1 SAR and Landsat 8 OLI texture features for crop discrimination and classification: case of Masvingo, Zimbabwe	Masvingo, Zimbabwe	['2. Materials and methods', '2.1. Study area', '2.3. Methodology']	Masvingo province,; Zimbabwe; Mozambique in the eastern; Matabeleland South; Midlands; Manicaland; Zimbabwe; Zimbabwe; Lowveld; Save-Limpopo; Zimbabwe	Masvingo province,; Zimbabwe; Mozambique in the eastern; Matabeleland South; Midlands; Manicaland; Zimbabwe; Zimbabwe; Lowveld; Save-Limpopo; Zimbabwe	['          The area under study is in Masvingo province, which is situated in the south-east of Zimbabwe.', 'The province shares boundary with Mozambique in the eastern part and Matabeleland South province is to the southern part, Midlands province is to the north and west part, whereas, Manicaland province to the north-east part [                       ].', 'It has an area of 56,566 km2, approximately 14.48% of the total area of Zimbabwe.', 'Zimbabwe experiences a bimodal rainfall pattern and it has three distinct seasons namely: (i) a wet and hot season from mid-November to March (summer); (ii) a dry and cold, season from April to July (winter); and (iii) a dry and hot season from August to mid-November (spring).', '          It is situated in the Lowveld with an altitude below 900 m, and agroecological regions III, IV, and V with a very low mean rainfall of below 600 mm in the Save-Limpopo valley.', 'Land reform program implemented in Zimbabwe since 1980 led to an agrarian structure accounting for up to 98% small-scale farms of the total agriculture land [                       ].']
CHEN, WANG et al. - UNIFORM POLARIMETRIC MATRIX ROTATION THEORY	False	Uniform Polarimetric Matrix Rotation Theory and Its Applications		[]			
CHRISTOVAM, SHIMABUKURO et al. - EVALUATION OF SAR TO OPTICAL	False	EVALUATION OF SAR TO OPTICAL IMAGE TRANSLATION USING CONDITIONAL GENERATIVE ADVERSARIAL NETWORK FOR CLOUD REMOVAL IN A CROP DATASET		['3.  MATERIAL AND METHODS ']	SAR; Green,; NIR,; SAR	SAR	['The  optical  images were provided in surface reflectance and the SAR images  in sigma nought (σ0) in dB scale.']
CUI, ZHANG et al. - INTEGRATION OF OPTICAL AND SAR	True	Integration of optical and SAR remote sensing images for crop-type mapping based on a novel object-oriented feature selection method		['Study area and datasets', '2.1 Study area']	Bohu; Yanqi counties of Xinjiang Uygur Autonomous Region; Bosten Lake; China; Xinjiang Uygur Autonomous Region,; SAR	Bohu; Yanqi counties of Xinjiang Uygur Autonomous Region; Bosten Lake; China; Xinjiang Uygur Autonomous Region,	['The study area is located in an agricultural district stretching over Bohu and Yanqi counties of Xinjiang Uygur Autonomous Region that faces Bosten Lake to the east, which is the largest inland freshwater lake in China.', 'This area is one of the most productive agricultural regions in Xinjiang Uygur Autonomous Region, mainly for food crops (maize and winter wheat) and economic crops (tomatoes, beets, cotton and fruit).']
D'ANDRIMONT, LEMOINE et al. - TARGETED GRASSLAND MONITORING AT PARCEL	True	Targeted Grassland Monitoring at Parcel Level Using Sentinels, Street-Level Images and Field Observations		['2. Materials and Methods', '2.1. Study Area', '2.3. Methods']	Netherlands; Netherlands (; Gelderland,; Ede, Wageningen,; Barneveld, Arnhem, Putten; Netherlands; WMS,; BRP; Land Parcel Information System (; BRP; Copernicus; Google; CSV; Europe; SLC; UTC; UTC	Netherlands; Netherlands (; Gelderland,; Ede, Wageningen,; Netherlands; Europe	['For this study, an area in the Netherlands was chosen as a large amount of high quality geo-information is available under open access license there, including very detailed annual agricultural parcel sets.', 'Secondly, grassland and maize are the two most important crops in terms of cultivated area in the Netherlands (with 52.0% and 13.3%, respectively).', 'The study site is the Gelderse Vallei, which is part of the province of Gelderland, and includes 7 municipalities: Ede, Wageningen, Renkum, Barneveld, Arnhem, Putten and Nijkerk (Figure 1).', '          The Netherlands open geo-data infrastructure exposes to the public a large number of very high quality reference datasets, using various protocols (e.g., WMS, WFS, atom downloads).', 'Starting with the operational status of Sentinel 1B in late September 2016, it is now possible to generate coherence with a 6-day temporal baseline over Europe.']
DE, C, H, DE, C, O et al. - RICE CROP DETECTION USING LSTM	True	Rice Crop Detection Using LSTM, Bi-LSTM, and Machine Learning Models from Sentinel-1 Time Series		['2. Study Area', '3. Materials and Methods']	Brazil; Brazil; Rio Grande; Argentina (	Brazil; Brazil; Rio Grande; Argentina (	['Brazil was the tenth largest producer of milled rice in 2018/2019 [86].', 'Apart from Asian countries, Brazil became the most significant global producer.', '2020, 12, x FOR PEER REVIEW 3 of 26 the national production, with 80% of the production, where the State of Rio Grande do Sul is the do Sul, on the border with Argentina (Figure 1).']
DE, KUMAR et al. - STUDY ON CLASSIFICATION OF LAND	True	Study on classification of land cover targets over parts of Burdwan, West Bengal using RISAT-1 hybrid polarimetric SAR images and optical remote sensing data	Burdwan, West Bengal	['STUDY AREA AND DATA SOURCES']	Burdwan; WB, India; Burdwan; LISS IV; United States Geological Survey (; Earth Science Data Interface	Burdwan; WB, India; Burdwan	['The test site has been chosen in the parts of Burdwan district, WB, India and its surroundings for investigation of crop monitoring and other land cover targets.', 'RISAT-1 hybrid SAR data has been acquired in circular fine resolution strip map (cFRS) mode on 18th Dec, 2014 over the parts of Burdwan with a central latitude of 23.2324° N, central longitude of 87.8615° E and at incidence angle of 47.54618°.']
DEL, F, F, SCHIAVON et al. - CROP CLASSIFICATION USING MULTICONFIGURATION CBAND	False	Crop Classification Using Multiconfiguration C-Band SAR Data		[]			
DEMAREZ, HELEN et al. - INSEASON MAPPING OF IRRIGATED CROPS	True	In-Season Mapping of Irrigated Crops Using Landsat 8 and Sentinel-1 Time Series		['2. Study Site and Data', '2. Study Site and Data', '3. Method', '3. Method']			
DEMIRKESEN, DEMIRPOLAT et al. - CLASSIFICATION OF AGRICULTURAL AREAS	False	Tarımsal Alanların Çok Zamanlı TerraSAR-X Görüntülerinde Morfolojik Profiller Kullanılarak Sınıflandırılması Classification of Agricultural Areas in Multi- temporal TerraSAR-X Images using Morphological Profiles		[]			
DESCALS, SZANTOI et al. - OIL PALM ELAEIS GUINEENSIS MAPPING	True	Oil Palm (Elaeis guineensis) Mapping with Details: Smallholder versus Industrial Plantations and their Extent in Riau, Sumatra	Riau, Sumatra	['2. Materials and Methods', '2.1.3. Study Area']	Copernicus; European Space Agency; SAR; SAR Ground Range Detected (		
DESHPANDE, KUMAR et al. - INTEGRATION OF C BAND SAR	True	Integration of C band SAR and optical temporal data for identification of paddy fields		['3 Study area and\xa0data used', '4 Methodology and\xa0approach']	Haridwar, Uttarakhand, India,; River Ganges; India, the; PCM; NDVI; NDVI; SMIC (	Haridwar, Uttarakhand, India,; River Ganges; India, the	['The study area is situated on the east side of Haridwar, Uttarakhand, India, toward national highway 74 as seen in Fig.', 'River Ganges oflws through the district, and hence, the land here is fertile and conducive for agriculture.', 'In India, the monsoon season coincides with the transplanting season for paddy crop.']
DEY, BHOGAPURAPU et al. - UNSUPERVISED CLASSIFICATION OF CROP GROWTH	True	Unsupervised Classification of Crop Growth Stages with Scattering Parameters from Dual-Pol Sentinel-1 SAR Data		['2. Methodology', '2.1. Study Area and Dataset']	Canada; southern Manitoba (; Manitoba (; Manitoba Canola	Canada; southern Manitoba (; Manitoba (	['The test site in Canada is located in southern Manitoba (49°4003200N, 97°5905700S).', 'The in-situ measurements were conducted during Soil Moisture Active Passive Validation Experiment 2016 Manitoba (SMAPVEX16-MB) campaign.']
DEY, CHAUDHURI et al. - SYNERGISTIC USE OF TANDEMX	False	Synergistic Use of TanDEM-X and Landsat-8 Data for Crop-type Classification and Monitoring		['Methods']			
DI, M, T, GUINVARC'H et al. - BEETS OR COTTON BLIND EXTRACTION	False	Beets or Cotton? Blind Extraction of Fine Agricultural Classes Using a Convolutional Autoencoder Applied to Temporal SAR Signatures		[]			
DIMOV, KUHN et al. - ASSESSMENT OF CROPPING SYSTEM DIVERSITY	True	ASSESSMENT OF CROPPING SYSTEM DIVERSITY IN THE FERGANA VALLEY THROUGH IMAGE FUSION OF LANDSAT 8 AND SENTINEL-1		['1.2 Study area', '3. METHODOLOGY']	Kokand (; Uchkuprik, Baghdad; Fergana Valley; eastern Uzbekistan, northern Tajikistan,; western Kyrgyzstan,; Naryn-Syrdarya river; SAR; Simpson Index of Diversity (	Kokand (; Uchkuprik, Baghdad; Fergana Valley; eastern Uzbekistan, northern Tajikistan,; western Kyrgyzstan,; Naryn-Syrdarya river; SAR	['         The study area is located within the surroundings of the alluvial fan south of the city of Kokand (districts Uchkuprik, Baghdad and Rishton) in the southern part of the Fergana Valley which is located between eastern Uzbekistan, northern Tajikistan, and western Kyrgyzstan, characterized by a semi-arid climate and a rapidly growing population of about 14 Mio peop                   ).', 'from the Naryn-Syrdarya river system.', 'Image fusion is performed to enhance the spatial resolution of the multispectral Landsat image and to test the ingestion of the SAR backscatter into the optical data in order to derive more detailed land use information with a spatial resolution of 10m per pixel.']
DOBRINIC, GASPAROVIC et al. - SENTINEL1 AND 2 TIMESERIES	True	Sentinel-1 and 2 Time-Series for Vegetation Mapping Using Random Forest Classification: A Case Study of Northern Croatia	Northern Croatia	['2. Study Area and Datasets', '2.1. Study Area']	Croatia	Croatia	['          The Med¯imurje County, illustrated in Figure 1, is one of the main crop product regions and is the northernmost part of Croatia.']
DOBSON, ULABY - PRELIMINARY EVALUATION OF THE SIRB	False	Preliminaly Evaluation of the		[]			
DURAND, GIMONET et al. - SAR DATA FILTERING FOR CLASSIFICATION	False	Data Filtering for Classification		[]			
DUSSEUX, CORPETTI et al. - COMBINED USE OF MULTITEMPORAL OPTICAL	False	Combined Use of Multi-Temporal Optical and Radar Satellite Images for Grassland Monitoring		['2. Study Site and Datasets']	Datasets; Brittany, France (; Brittany; Yar	Brittany, France (	['The study was performed on a catchment area of 61.5 km2 located in central-north Brittany, France (Figure 1).']
FELEGARI, SHARIFI et al. - INTEGRATION OF SENTINEL 1	True	Integration of Sentinel 1 and Sentinel 2 Satellite Images for Crop Mapping		['2.1. Study Area']	Tarom City (Zanjan Province), Iran,; Tarom	Tarom City (Zanjan Province), Iran,	['This research was carried out in Tarom City (Zanjan Province), Iran, which has a wide range of climates (Figure 2).']
FENG, CHEN et al. - LAND COVER CLASSIFICATION BY SUPPORT	False	LAND COVER CLASSIFICATION BY SUPPORT VECTOR MACHINES USING MULTI- TEMPORAL POLARIMETRIC SAR DATA		[]			
FENG, ZHENG et al. - DYNAMIC COSINE METHOD FOR NORMALIZING	True	Dynamic Cosine Method for Normalizing Incidence Angle Effect on C-band Radar Backscattering Coefficient for Maize Canopies Based on NDVI		['2.1. Study Site and Data Sets']	Jilin Province in northeast China (; Changchun, Songyuan, Siping,; Jilin city (; Songliao Plain in northeast China; China,; Sentinel Satellite Data Distribution Network of the European Space Agency (	Jilin Province in northeast China (; Changchun, Songyuan, Siping,; Jilin city (; Songliao Plain in northeast China; China,	['          The study site is located in the central part of Jilin Province in northeast China (123 080~127 090 E, 43 100~44 510 N) with an area of approximately 250 km 160 km, covering Changchun, Songyuan, Siping, and Jilin city (Figure 1).', 'It belongs to the hinterland of the Songliao Plain in northeast China.', 'It is one of the most important commercial maize production bases in China, and one of the three major black soil regions as well as three golden maize belts in the world [28].']
FERRANT, SELLES et al. - DETECTION OF IRRIGATED CROPS	True	Detection of Irrigated Crops from Sentinel-1 and Sentinel-2 Data to Estimate Seasonal Groundwater Use in South India	South India	['2. Materials and Methods', '2.1. Study Area']	Kudaliar river; Telangana State, South India,; India,; Andhra Pradesh State; India; Rabi; Hyderabad (; Southwest; Indian Meteorological Department; (Gajwel,; Rabi; Kharif,; Rabi; Rabi	Kudaliar river; Telangana State, South India,; India,; India; Hyderabad (; Southwest; Indian Meteorological Department; Kharif,	['          The Kudaliar river catchment (983 km2) is shown in Figure 1.', 'It is located in Telangana State, South India, and is the youngest state in India, formed after the Andhra Pradesh State 2014 Reorganisation Act.', 'Figure 1 shows the fraction crop cover in India for two seasons, Kharif 2015 (Figure 1a) and Rabi 2016 (Figure 1b).', 'The catchment is 50 km north of Hyderabad (Figure 1c).', 'The region has a semi-arid climate controlled by the periodicity of the Southwest monsoon: a rainy “Kharif” (local name) season from June to November and a dry “Rabi” (local name) season from December to March.', 'Annual precipitation (1980–2000) ranges from 540 mm to 1300 mm with a mean of 879 mm according to the Indian Meteorological Department [                       ]; 88% of the rain falls during the monsoon season.', 'Daily irrigation rates for rice are 12 mm/day and 9 mm/day for Rabi and Kharif, respectively [                       ].']
FERRANT, SELLES et al. - SENTINEL12 FOR NEAR REAL TIME	True	SENTINEL-1&2 FOR NEAR REAL TIME CROPPING PATTERN MONITORING IN DROUGHT PRONE AREAS. APPLICATION TO IRRIGATION WATER NEEDS IN TELANGANA, SOUTH-INDIA	TELANGANA,	['2. MATERIAL AND METHODS', '2.1 Study area']	Kudaliar river; Telangana State, South India; India; Rabi; Hyderabad (; Southwest; Spatial Information Sciences,	Kudaliar river; Telangana State, South India; India; Hyderabad (; Southwest	['The Kudaliar river catchment (983 km2) is shown in Figure 1 and 2.', 'It is located in Telangana State, South India.', 'Figure 1 shows the fraction crop cover in India for two seasons, Kharif 2015 (Figure 1a) and Rabi 2016 (Figure 1b).', 'The catchment is 50 km north of Hyderabad (Figure 1c).', 'The region has a semi-arid climate controlled by the periodicity of the Southwest monsoon: a rainy “Kharif” (local name) season from June to November and a dry “Rabi”']
FERRAZZOLI, PALOSCIA et al. - THE POTENTIAL OF MULTIFREQUENCY POLARIMETRIC	False	The Potential of Multifrequency Polarimetric SAR in Assessing Agricultural and Arboreous Biomass		[]			
FIORILLO, DI, G, E et al. - LOWLAND RICE MAPPING IN SEDHIOU	True	Lowland Rice Mapping in Sédhiou Region (Senegal) Using Sentinel 1 and Sentinel 2 Data and Random Forest	Sédhiou Region (Senegal)	['2. Materials', '2.1. Study Area', '3. Methods']	Middle Casamance,; Senegal; Casamance; Soungrougrou rivers; NDVI	Middle Casamance,; Senegal; Casamance; Soungrougrou rivers	['The Sédhiou region (Figure 1) corresponds to the geographic region of the Middle Casamance, covering 7341 km2 that amounts to 3.73% of Senegal’s total area.', 'Other lowland areas (denominated “fluvial”) are located on the banks of the Casamance and Soungrougrou rivers.']
FISETTE, DAVIDSON et al. - ANNUAL SPACEBASED CROP INVENTORY	True	ANNUAL SPACE-BASED CROP INVENTORY FOR CANADA: 2009-2014	CANADA	['2. METHODOLOGY']	DMC (; AAFC; AAFC		
FORKUOR, CONRAD et al. - INTEGRATION OF OPTICAL AND SYNTHETIC	True	Integration of Optical and Synthetic Aperture Radar Imagery for Improving Crop Mapping in Northwestern Benin, West Africa	Northwestern Benin, West Africa	['2. Study Area', '4. Methodological Approach']	Benin (; West Africa,; Materi; Atacora Department; Pendjari National Park in West Africa; Benin; Millet; northwestern Benin; northwestern Benin; West Africa,	Benin (; West Africa,; Materi; Atacora Department; Pendjari National Park in West Africa; Benin; northwestern Benin; northwestern Benin; West Africa,	['         The study was conducted in a catchment located in the northwestern part of the republic of Benin (Figure 1).', 'Like other parts of West Africa, agriculture here is mainly rainfed.', '        The catchment is located in the Materi commune, which administratively falls under the jurisdiction of the Atacora Department.', 'The northeastern part of the catchment forms part of the Pendjari National Park in West Africa.', 'Cotton is cultivated exclusively for export (the Government of Benin purchases the produce).', 'The authors of [                   ] estimated that about 50% of farms in northwestern Benin are less than 1.25 ha in size.', 'It is estimated that about 50% of farm land in northwestern Benin is under cotton cultivation [                   ].', 'In West Africa, this situation is further aggravated by a heterogeneous landscape [                   ].']
GAO, WANG et al. - A CROP CLASSIFICATION METHOD INTEGRATING	True	A Crop Classification Method Integrating GF-3 PolSAR and Sentinel-2A Optical Data in the Dongting Lake Basin	Sentinel-2A Optical Data in the Dongting Lake Basin	['2. Study Area and Dataset']	southeastern Dongting Lake basin, Hunan, China (; Dongting Lake,; China,	southeastern Dongting Lake basin, Hunan, China (; Dongting Lake,; China,	['The study area is located in the southeastern Dongting Lake basin, Hunan, China (Figure 1).', 'With the steady stream of irrigation support from Dongting Lake, there grows the single-season rice (Rice1) and the two-season rice (Rice2).', 'As the first C-band synthetic aperture radar (SAR) satellite in China, it owns 12 imaging modes with the highest spatial resolution of 1 m [48].']
